s,a,r,sp
6E484_5,b,40.83299305839118,travel
6E484_5,w,0.0,6E484_4
6E484_6,b,40.83299305839118,travel
6E484_6,w,0.0,6E484_5
6E484_7,b,40.83299305839118,travel
6E484_7,w,0.0,6E484_6
6E484_8,b,40.83299305839118,travel
6E484_8,w,0.0,6E484_7
6E484_9,b,40.83299305839118,travel
6E484_9,w,0.0,6E484_8
6E537_0,b,21.281123643328367,travel
6E537_1,b,25.00625156289072,travel
6E537_1,w,0.0,6E537_0
6E537_10,b,40.83299305839118,travel
6E537_10,w,0.0,6E537_9
6E537_11,b,40.83299305839118,travel
6E537_11,w,0.0,6E537_10
6E537_12,b,35.26093088857546,travel
6E537_12,w,0.0,6E537_11
6E537_13,b,38.431975403535745,travel
6E537_13,w,0.0,6E537_12
6E537_14,b,38.431975403535745,travel
6E537_14,w,0.0,6E537_13
6E537_15,b,40.83299305839118,travel
6E537_15,w,0.0,6E537_14
6E537_16,b,40.83299305839118,travel
6E537_16,w,0.0,6E537_15
6E537_17,b,40.83299305839118,travel
6E537_17,w,0.0,6E537_16
6E537_18,b,35.26093088857546,travel
6E537_18,w,0.0,6E537_17
6E537_19,b,29.779630732578916,travel
6E537_19,w,0.0,6E537_18
6E537_2,b,35.26093088857546,travel
6E537_2,w,0.0,6E537_1
6E537_20,b,35.26093088857546,travel
6E537_20,w,0.0,6E537_19
6E537_21,b,38.431975403535745,travel
6E537_21,w,0.0,6E537_20
6E537_22,b,40.83299305839118,travel
6E537_22,w,0.0,6E537_21
6E537_23,b,40.83299305839118,travel
6E537_23,w,0.0,6E537_22
6E537_24,b,40.83299305839118,travel
6E537_24,w,0.0,6E537_23
6E537_25,b,35.26093088857546,travel
6E537_25,w,0.0,6E537_24
6E537_26,b,38.431975403535745,travel
6E537_26,w,0.0,6E537_25
6E537_27,b,40.83299305839118,travel
6E537_27,w,0.0,6E537_26
6E537_28,b,29.779630732578916,travel
6E537_28,w,0.0,6E537_27
6E537_29,b,38.431975403535745,travel
6E537_29,w,0.0,6E537_28
6E537_3,b,27.37476047084588,travel
6E537_3,w,0.0,6E537_2
6E537_30,b,25.00625156289072,travel
6E537_30,w,0.0,6E537_29
6E537_31,b,23.261223540358223,travel
6E537_31,w,0.0,6E537_30
6E537_32,b,29.779630732578916,travel
6E537_32,w,0.0,6E537_31
6E537_33,b,34.494653328734046,travel
6E537_33,w,0.0,6E537_32
6E537_34,b,34.494653328734046,travel
6E537_34,w,0.0,6E537_33
6E537_35,b,34.494653328734046,travel
6E537_35,w,0.0,6E537_34
6E537_36,b,34.494653328734046,travel
