s,a,r,sp
6E2009_4,b,0.0,6E2009_3
6E2009_4,w,0.0,6E2009_3
6E2009_40,b,19.13143294432753,travel
6E2009_40,w,0.0,6E2009_39
6E2009_41,b,19.13143294432753,travel
6E2009_41,w,0.0,6E2009_40
6E2009_42,b,14.46968600781363,travel
6E2009_42,w,0.0,6E2009_41
6E2009_43,b,23.815194093831863,travel
6E2009_43,w,0.0,6E2009_42
6E2009_44,b,17.20282126268708,travel
6E2009_44,w,0.0,6E2009_43
6E2009_45,b,20.973154362416107,travel
6E2009_45,w,0.0,6E2009_44
6E2009_46,b,20.973154362416107,travel
6E2009_46,w,0.0,6E2009_45
6E2009_47,b,19.13143294432753,travel
6E2009_47,w,0.0,6E2009_46
6E2009_48,b,19.13143294432753,travel
6E2009_48,w,0.0,6E2009_47
6E2009_49,b,14.46968600781363,travel
6E2009_49,w,0.0,6E2009_48
6E2009_5,b,0.0,6E2009_4
6E2009_5,w,0.0,6E2009_4
6E2009_6,b,0.0,6E2009_5
6E2009_6,w,0.0,6E2009_5
6E2009_7,b,0.0,6E2009_6
6E2009_7,w,0.0,6E2009_6
6E2009_8,b,0.0,6E2009_7
6E2009_8,w,0.0,6E2009_7
6E2009_9,b,0.0,6E2009_8
6E2009_9,w,0.0,6E2009_8
6E2016_0,b,5.609468783306221,travel
6E2016_1,b,6.89893066574681,travel
6E2016_1,w,0.0,6E2016_0
6E2016_10,b,15.08978421608571,travel
6E2016_10,w,0.0,6E2016_9
6E2016_11,b,23.815194093831863,travel
6E2016_11,w,0.0,6E2016_10
6E2016_12,b,23.815194093831863,travel
6E2016_12,w,0.0,6E2016_11
6E2016_13,b,14.46968600781363,travel
6E2016_13,w,0.0,6E2016_12
6E2016_14,b,23.815194093831863,travel
6E2016_14,w,0.0,6E2016_13
6E2016_15,b,23.815194093831863,travel
6E2016_15,w,0.0,6E2016_14
6E2016_16,b,17.20282126268708,travel
6E2016_16,w,0.0,6E2016_15
6E2016_17,b,23.815194093831863,travel
6E2016_17,w,0.0,6E2016_16
6E2016_18,b,19.13143294432753,travel
6E2016_18,w,0.0,6E2016_17
6E2016_19,b,23.815194093831863,travel
6E2016_19,w,0.0,6E2016_18
6E2016_2,b,12.166930283489476,travel
6E2016_2,w,0.0,6E2016_1
6E2016_20,b,16.50437365901964,travel
6E2016_20,w,0.0,6E2016_19
6E2016_21,b,17.20282126268708,travel
6E2016_21,w,0.0,6E2016_20
6E2016_22,b,19.13143294432753,travel
6E2016_22,w,0.0,6E2016_21
6E2016_23,b,23.815194093831863,travel
6E2016_23,w,0.0,6E2016_22
6E2016_24,b,20.973154362416107,travel
6E2016_24,w,0.0,6E2016_23
6E2016_25,b,20.973154362416107,travel
6E2016_25,w,0.0,6E2016_24
6E2016_26,b,19.13143294432753,travel
6E2016_26,w,0.0,6E2016_25
6E2016_27,b,14.46968600781363,travel
6E2016_27,w,0.0,6E2016_26
6E2016_28,b,20.973154362416107,travel
6E2016_28,w,0.0,6E2016_27
6E2016_29,b,23.815194093831863,travel
6E2016_29,w,0.0,6E2016_28
6E2016_3,b,15.08978421608571,travel
6E2016_3,w,0.0,6E2016_2
6E2016_30,b,23.815194093831863,travel
6E2016_30,w,0.0,6E2016_29
6E2016_31,b,20.973154362416107,travel
6E2016_31,w,0.0,6E2016_30
6E2016_32,b,20.973154362416107,travel
6E2016_32,w,0.0,6E2016_31
6E2016_33,b,19.13143294432753,travel
6E2016_33,w,0.0,6E2016_32
6E2016_34,b,14.46968600781363,travel
6E2016_34,w,0.0,6E2016_33
6E2016_35,b,20.973154362416107,travel
6E2016_35,w,0.0,6E2016_34
